,lh,rh,lift
154,"frozenset({'pip fruit', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",4.716272378516624
160,"frozenset({'onions', 'other vegetables'})","frozenset({'root vegetables', 'whole milk'})",4.673596673596673
162,"frozenset({'whipped/sour cream', 'root vegetables'})","frozenset({'yogurt', 'other vegetables'})",4.661397345823575
167,"frozenset({'root vegetables', 'onions'})","frozenset({'other vegetables', 'whole milk'})",4.59794296400187
170,"frozenset({'herbs', 'other vegetables'})",frozenset({'root vegetables'}),4.5872201492537314
172,"frozenset({'citrus fruit', 'root vegetables', 'whole milk', 'tropical fruit'})",frozenset({'other vegetables'}),4.577509196006306
175,"frozenset({'onions', 'whole milk'})",frozenset({'butter'}),4.549379384781435
177,"frozenset({'long life bakery product', 'whole milk'})",frozenset({'chocolate'}),4.545944779982744
180,"frozenset({'yogurt', 'butter', 'other vegetables'})",frozenset({'tropical fruit'}),4.5381136950904395
181,"frozenset({'citrus fruit', 'other vegetables', 'tropical fruit'})",frozenset({'root vegetables'}),4.535678349823915
182,"frozenset({'beef', 'tropical fruit'})",frozenset({'root vegetables'}),4.526057213930349
184,"frozenset({'whole milk', 'onions', 'other vegetables'})",frozenset({'root vegetables'}),4.516647531572905
186,"frozenset({'butter', 'tropical fruit'})","frozenset({'other vegetables', 'whole milk'})",4.499708850931677
187,"frozenset({'citrus fruit', 'whipped/sour cream'})","frozenset({'other vegetables', 'whole milk'})",4.495885818772856
188,"frozenset({'cream cheese', 'other vegetables'})","frozenset({'yogurt', 'whole milk'})",4.495395577065269
191,"frozenset({'whole milk', 'other vegetables', 'domestic eggs'})",frozenset({'butter'}),4.474183031313974
192,"frozenset({'yogurt', 'other vegetables', 'tropical fruit'})",frozenset({'butter'}),4.474183031313974
193,"frozenset({'beef', 'soda'})",frozenset({'root vegetables'}),4.472539645522389
197,"frozenset({'frozen vegetables', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",4.454257246376812
198,"frozenset({'root vegetables', 'tropical fruit'})","frozenset({'other vegetables', 'whole milk'})",4.454257246376812
201,"frozenset({'frozen vegetables', 'other vegetables'})","frozenset({'root vegetables', 'whole milk'})",4.43991683991684
206,"frozenset({'fruit/vegetable juice', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",4.416509303610907
214,"frozenset({'root vegetables', 'other vegetables', 'tropical fruit'})",frozenset({'citrus fruit'}),4.3935671208398475
215,"frozenset({'citrus fruit', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",4.377459707646177
219,"frozenset({'curd', 'whole milk', 'tropical fruit'})",frozenset({'yogurt'}),4.368223852040817
220,"frozenset({'yogurt', 'whole milk', 'root vegetables', 'other vegetables'})",frozenset({'tropical fruit'}),4.331835799859055
224,"frozenset({'whipped/sour cream', 'tropical fruit'})","frozenset({'other vegetables', 'whole milk'})",4.323249680306905
226,"frozenset({'butter', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",4.313965679561794
227,"frozenset({'fruit/vegetable juice', 'other vegetables'})","frozenset({'yogurt', 'whole milk'})",4.3114407708426485
232,"frozenset({'hygiene articles', 'whole milk'})",frozenset({'butter'}),4.296636085626911
233,"frozenset({'pip fruit', 'other vegetables'})","frozenset({'root vegetables', 'whole milk'})",4.29625375150667
235,"frozenset({'yogurt', 'whole milk', 'other vegetables', 'tropical fruit'})",frozenset({'root vegetables'}),4.281405472636816
236,"frozenset({'butter', 'tropical fruit'})",frozenset({'whipped/sour cream'}),4.270516717325228
237,"frozenset({'root vegetables', 'domestic eggs'})","frozenset({'other vegetables', 'whole milk'})",4.264714384828863
239,"frozenset({'yogurt', 'butter'})","frozenset({'root vegetables', 'whole milk'})",4.259788634788635
242,"frozenset({'butter', 'other vegetables'})","frozenset({'root vegetables', 'whole milk'})",4.255463976276159
245,"frozenset({'butter', 'domestic eggs'})","frozenset({'other vegetables', 'whole milk'})",4.219822654462242
246,"frozenset({'butter', 'root vegetables'})","frozenset({'yogurt', 'whole milk'})",4.216385383768952
250,"frozenset({'other vegetables', 'domestic eggs'})","frozenset({'root vegetables', 'whole milk'})",4.201435365818928
251,"frozenset({'citrus fruit', 'beef'})",frozenset({'root vegetables'}),4.200346160762454
253,"frozenset({'whole milk', 'butter', 'other vegetables'})",frozenset({'domestic eggs'}),4.184394145677332
257,"frozenset({'rolls/buns', 'other vegetables', 'tropical fruit'})",frozenset({'root vegetables'}),4.17020013568521
258,"frozenset({'yogurt', 'pip fruit', 'other vegetables'})",frozenset({'tropical fruit'}),4.169391957364341
261,"frozenset({'citrus fruit', 'root vegetables'})",frozenset({'beef'}),4.162545665151921
264,"frozenset({'other vegetables', 'butter milk'})",frozenset({'pip fruit'}),4.147164242040902
267,"frozenset({'root vegetables', 'brown bread'})","frozenset({'other vegetables', 'whole milk'})",4.142459239130435
269,"frozenset({'whipped/sour cream', 'yogurt'})",frozenset({'curd'}),4.140239110911541
273,"frozenset({'pastry', 'tropical fruit'})","frozenset({'yogurt', 'whole milk'})",4.119084182605054
276,"frozenset({'citrus fruit', 'root vegetables', 'other vegetables'})",frozenset({'tropical fruit'}),4.110997112023104
277,"frozenset({'other vegetables', 'beef'})","frozenset({'root vegetables', 'whole milk'})",4.110476455837282
279,"frozenset({'citrus fruit', 'other vegetables'})","frozenset({'root vegetables', 'whole milk'})",4.103796374923136
280,"frozenset({'curd', 'tropical fruit'})","frozenset({'other vegetables', 'whole milk'})",4.101444791218253
281,"frozenset({'root vegetables', 'domestic eggs'})",frozenset({'butter'}),4.095516949703949
284,"frozenset({'citrus fruit', 'whole milk', 'other vegetables'})",frozenset({'root vegetables'}),4.085492945429104
285,"frozenset({'pip fruit', 'root vegetables'})","frozenset({'yogurt', 'whole milk'})",4.083188024150979
290,"frozenset({'root vegetables', 'soda'})",frozenset({'beef'}),4.0619837336383275
293,"frozenset({'citrus fruit', 'root vegetables', 'tropical fruit'})",frozenset({'other vegetables'}),4.060693641618497
295,"frozenset({'whipped/sour cream', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",4.056555706521739
298,"frozenset({'yogurt', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",4.050918991783636
299,"frozenset({'citrus fruit', 'chicken'})",frozenset({'root vegetables'}),4.0475471905179985
302,"frozenset({'sausage', 'tropical fruit'})","frozenset({'yogurt', 'whole milk'})",4.038907361532449
304,"frozenset({'butter', 'other vegetables'})",frozenset({'whipped/sour cream'}),4.036397019116535
305,"frozenset({'whole milk', 'other vegetables', 'domestic eggs'})",frozenset({'whipped/sour cream'}),4.03522654006213
306,"frozenset({'yogurt', 'other vegetables', 'tropical fruit'})",frozenset({'whipped/sour cream'}),4.03522654006213
307,"frozenset({'yogurt', 'pip fruit'})",frozenset({'curd'}),4.0295208522016654
309,"frozenset({'yogurt', 'whole milk', 'tropical fruit'})",frozenset({'whipped/sour cream'}),4.025941263268123
